SciName,Zimmer_1913,Ford_1957,Bray_1993,GBIF_2023
Icteria virens,Confirmed,Confirmed,Confirmed,GBIF
Cardellina pusilla,Confirmed,NA,Confirmed,GBIF
Setophaga ruticilla,Confirmed,NA,Confirmed,GBIF
Dumetella carolinensis,Confirmed,NA,Confirmed,GBIF
Toxostoma rufum,Confirmed,NA,Confirmed,GBIF
Troglodytes aedon,Confirmed,NA,Confirmed,GBIF
Cistothorus palustris,Confirmed,NA,Confirmed,GBIF
Poecile atricapillus,Confirmed,NA,Confirmed,GBIF
Corthylio calendula,Confirmed,NA,Confirmed,GBIF
Myadestes townsendi,Confirmed,NA,Confirmed,GBIF
Hylocichla mustelina,Confirmed,NA,Extirpated,GBIF
Catharus ustulatus,Confirmed,NA,Confirmed,GBIF
Turdus migratorius,Confirmed,Confirmed,Confirmed,GBIF
Sialia sialis,Confirmed,NA,Confirmed,GBIF
Sialia currucoides,Confirmed,NA,Confirmed,GBIF
Cardinalis cardinalis,Hypothetical,NA,Confirmed,GBIF
Rallus limicola,NA,Confirmed,Confirmed,GBIF
Phalaenoptilus nuttallii,NA,Confirmed,Confirmed,GBIF
Podiceps nigricollis,NA,NA,Confirmed,GBIF
Podilymbus podiceps,NA,NA,Confirmed,GBIF
Nannopterum auritum,NA,NA,Confirmed,GBIF
Plegadis chihi,NA,NA,Confirmed,GBIF
Anser albifrons,NA,NA,Confirmed,GBIF
Branta canadensis,NA,NA,Confirmed,GBIF
Aix sponsa,NA,NA,Confirmed,GBIF
Mareca americana,NA,NA,Confirmed,GBIF
Bucephala albeola,NA,NA,Confirmed,GBIF
Oxyura jamaicensis,NA,NA,Confirmed,GBIF
Haliaeetus leucocephalus,NA,NA,Confirmed,GBIF
Accipiter cooperii,NA,NA,Confirmed,GBIF
Buteo platypterus,NA,NA,Confirmed,GBIF
Buteo jamaicensis,NA,NA,Confirmed,GBIF
Buteo lagopus,NA,NA,Confirmed,GBIF
Aquila chrysaetos,NA,NA,Confirmed,GBIF
Phasianus colchicus,NA,NA,Confirmed,GBIF
Meleagris gallopavo,NA,NA,Confirmed,GBIF
Porzana carolina,NA,NA,Confirmed,GBIF
Recurvirostra americana,NA,NA,Confirmed,GBIF
Tyto alba,NA,NA,Confirmed,GBIF
Bubo virginianus,NA,NA,Confirmed,GBIF
Aegolius acadicus,NA,NA,Hypothetical,GBIF
Melanerpes carolinus,NA,NA,Confirmed,GBIF
Sphyrapicus varius,NA,NA,Confirmed,GBIF
Contopus virens,NA,NA,Confirmed,GBIF
Empidonax alnorum,NA,NA,Confirmed,GBIF
