Species,English,SciName,Zimmer 1913,Ford 1957,Bray 1994,GBIF 2023
229,Connecticut Warbler,Oporornis agilis,,,X,
230,Mourning Warbler,Geothlypis philadelphia,,,X,X
231,Common Yellowthroat,Geothlypis trichas,X,X,X,X
232,Hooded Warbler,Setophaga citrina,,,Hypothetical,X
233,American Redstart,Setophaga ruticilla,X,,X,X
234,Cape May Warbler,Setophaga tigrina,,,X,
235,Northern Parula,Setophaga americana,X,,X,
236,Bay-breasted Warbler,Setophaga castanea,,,X,X
237,Blackburnian Warbler,Setophaga fusca,,,X,
238,Mangrove Warbler,Setophaga petechia,X,,X,X
239,Chestnut-sided Warbler,Setophaga pensylvanica,,,X,X
240,Blackpoll Warbler,Setophaga striata,X,,X,X
241,Palm Warbler,Setophaga palmarum,,,X,
242,Pine Warbler,Setophaga pinus,,,X,
243,Myrtle Warbler,Setophaga coronata,X,,X,X
243.5,Audubon's Warbler,Setophaga auduboni,X,,X,
244,Townsend's Warbler,Setophaga townsendi,,,X,
245,Black-throated Green Warbler,Setophaga virens,,,X,
246,Canada Warbler,Cardellina canadensis,,,X,
247,Wilson's Warbler,Cardellina pusilla,X,,X,X
248,Summer Tanager,Piranga rubra,,,X,
249,Scarlet Tanager,Piranga olivacea,,X,,
250,Western Tanager,Piranga ludoviciana,,,X,
251,Rose-breasted Grosbeak,Pheucticus ludovicianus,,,X,X
252,Black-headed Grosbeak,Pheucticus melanocephalus,X,X,X,X
253,Northern Cardinal,Cardinalis cardinalis,Hypothetical,,X,X
254,Dickcissel,Spiza americana,X,,X,X
255,Blue Grosbeak,Passerina caerulea,X,,X,X
256,Indigo Bunting,Passerina cyanea,,,X,X
257,Lazuli Bunting,Passerina amoena,X,,X,X
