species,individualCount,decimalLongitude,decimalLatitude,eventDate,district
Branta canadensis,6,-103.404161,42.791732,2020-07-03,Pine Ridge / Oglala
Branta canadensis,30,-103.002705,42.703845,2021-02-12,Pine Ridge / Oglala
Branta canadensis,5,-103.4984207,42.9109261,2021-03-08,Pine Ridge / Oglala
Branta canadensis,2,-100.2983522,41.8992266,2021-03-20,Bessey
Branta canadensis,X,-101.0644984,42.6849371,2021-04-25,McKelvie
Branta canadensis,8,-103.00341,42.703422,2021-04-04,Pine Ridge / Oglala
Branta canadensis,1,-103.3995438,42.8031154,2021-05-19,Pine Ridge / Oglala
Branta canadensis,4,-103.4984207,42.9109261,2021-05-19,Pine Ridge / Oglala
Branta canadensis,3,-103.3995438,42.8031154,2021-05-08,Pine Ridge / Oglala
Branta canadensis,2,-103.4984207,42.9109261,2021-05-08,Pine Ridge / Oglala
Branta canadensis,3,-103.0042076,42.7448691,2021-05-11,Pine Ridge / Oglala
Branta canadensis,2,-103.3995438,42.8031154,2021-05-11,Pine Ridge / Oglala
Branta canadensis,12,-103.554909,42.801773,2021-05-18,Pine Ridge / Oglala
Branta canadensis,2,-100.511384,41.9710414,2021-05-16,Bessey
Branta canadensis,5,-100.3527038,41.8962773,2021-05-02,Bessey
Branta canadensis,5,-100.2983522,41.8992266,2021-05-14,Bessey
Branta canadensis,6,-101.1019793,42.7045096,2021-06-08,McKelvie
Branta canadensis,8,-101.0669237,42.6868125,2021-06-06,McKelvie
Branta canadensis,6,-100.9413683,42.6512969,2021-06-06,McKelvie
Branta canadensis,6,-103.0042076,42.7448691,2021-06-11,Pine Ridge / Oglala
Branta canadensis,3,-103.3995438,42.8031154,2021-06-22,Pine Ridge / Oglala
Branta canadensis,200,-100.2983522,41.8992266,2021-11-02,Bessey
Branta canadensis,60,-100.2983522,41.8992266,2021-11-21,Bessey
Branta canadensis,15,-103.515558,42.831379,2021-12-18,Pine Ridge / Oglala
Branta canadensis,8,-100.297524,41.902598,2022-01-31,Bessey
Branta canadensis,7,-103.3163953,42.6317644,2022-02-07,Pine Ridge / Oglala
Branta canadensis,4,-103.0162239,42.7071641,2022-03-24,Pine Ridge / Oglala
Branta canadensis,4,-100.298564,41.900938,2022-03-29,Bessey
Branta canadensis,2,-100.511384,41.9710414,2022-03-26,Bessey
Branta canadensis,5,-100.479461,41.934871,2022-03-26,Bessey
Branta canadensis,9,-100.3807068,41.8572879,2022-04-02,Bessey
Branta canadensis,2,-100.3807068,41.8572879,2022-04-02,Bessey
Branta canadensis,2,-103.0042076,42.7448691,2022-05-24,Pine Ridge / Oglala
Branta canadensis,4,-103.573259,42.813891,2022-05-05,Pine Ridge / Oglala
Branta canadensis,1,-103.641852,43.000498,2022-05-18,Pine Ridge / Oglala
Branta canadensis,2,-103.574259,42.900279,2022-05-18,Pine Ridge / Oglala
Branta canadensis,1,-100.3807068,41.8572879,2022-05-01,Bessey
Branta canadensis,2,-100.297961,41.903303,2022-05-20,Bessey
Branta canadensis,20,-100.960424,42.658969,2022-06-07,McKelvie
Branta canadensis,2,-100.898879,42.644792,2022-06-07,McKelvie
Branta canadensis,5,-100.2983522,41.8992266,2022-07-08,Bessey
Branta canadensis,12,-100.2970217,41.9028968,2022-11-19,Bessey
Branta canadensis,16,-100.3807068,41.8572879,2022-11-21,Bessey
Branta canadensis,4,-101.010707,42.665847,2023-03-30,McKelvie
Branta canadensis,6,-100.94804,42.652041,2023-03-30,McKelvie
Branta canadensis,4,-101.000289,42.665325,2023-03-30,McKelvie
Branta canadensis,2,-100.298352,41.901573,2023-03-28,Bessey
Branta canadensis,600,-100.4842,41.8931,2023-03-21,Bessey
Branta canadensis,2,-103.0042076,42.7448691,2023-04-11,Pine Ridge / Oglala
Branta canadensis,3,-100.511384,41.9710414,2023-04-01,Bessey
Branta canadensis,8,-100.2983522,41.8992266,2023-04-01,Bessey
Branta canadensis,8,-100.2983522,41.8992266,2023-04-29,Bessey
Branta canadensis,2,-101.0644984,42.6849371,2023-05-04,McKelvie
Branta canadensis,8,-100.960424,42.658969,2023-05-06,McKelvie
Branta canadensis,2,-101.035604,42.78312,2023-05-24,McKelvie
Branta canadensis,1,-101.1539039,42.6890767,2023-05-06,McKelvie
Branta canadensis,4,-101.143578,42.690906,2023-05-06,McKelvie
Branta canadensis,2,-103.50121,42.921431,2023-05-25,Pine Ridge / Oglala
Branta canadensis,3,-103.0042076,42.7448691,2023-05-06,Pine Ridge / Oglala
Branta canadensis,2,-103.6394628,42.9885988,2023-05-20,Pine Ridge / Oglala
Branta canadensis,1,-100.2983522,41.8992266,2023-05-05,Bessey
Branta canadensis,2,-100.2970217,41.9028968,2023-05-09,Bessey
Branta canadensis,2,-100.296701,41.901114,2023-05-30,Bessey
Branta canadensis,1,-100.3807068,41.8572879,2023-05-19,Bessey
Branta canadensis,41,-100.9498903,42.6978972,2022-05-29,McKelvie
Cygnus buccinator,X,-101.121254,42.7078537,2009-10-03,McKelvie
Cygnus buccinator,2,-100.920029,42.645409,2016-05-18,McKelvie
Cygnus buccinator,1,-101.133042,42.701631,2019-06-12,McKelvie
Cygnus buccinator,2,-100.972018,42.660048,2019-07-27,McKelvie
Cygnus buccinator,1,-101.10431,42.70485,2020-05-18,McKelvie
Cygnus buccinator,1,-101.020262,42.666866,2020-05-31,McKelvie
Cygnus buccinator,2,-103.250118,42.630101,2020-09-20,Pine Ridge / Oglala
Cygnus buccinator,1,-101.0644984,42.6849371,2021-06-07,McKelvie
Cygnus buccinator,3,-101.026024,42.670002,2021-08-18,McKelvie
Cygnus buccinator,3,-100.9641782,42.6605283,2021-08-31,McKelvie
Cygnus buccinator,2,-100.298061,41.901441,2021-11-03,Bessey
Cygnus buccinator,1,-100.9498903,42.6978972,2022-05-29,McKelvie
Cygnus buccinator,1,-100.3807068,41.8572879,2022-11-21,Bessey
Cygnus buccinator,3,-101.081687,42.696118,2023-03-30,McKelvie
Cygnus buccinator,2,-101.123536,42.712002,2023-05-05,McKelvie
Aix sponsa,1,-103.0162239,42.7071641,1984-05-18,Pine Ridge / Oglala
Aix sponsa,X,-100.3807068,41.8572879,1990-09-09,Bessey
Aix sponsa,X,-100.3807068,41.8572879,1990-09-08,Bessey
Aix sponsa,X,-100.3223848,41.9053274,2002-10-01,Bessey
Aix sponsa,X,-100.3223848,41.9053274,2006-09-24,Bessey
Aix sponsa,2,-103.2019615,42.6392627,2009-04-29,Pine Ridge / Oglala
Aix sponsa,1,-100.2983522,41.8992266,2009-05-11,Bessey
Aix sponsa,4,-103.0042076,42.7448691,2009-09-29,Pine Ridge / Oglala
Aix sponsa,2,-100.3807068,41.8572879,2010-04-20,Bessey
Aix sponsa,2,-103.0162239,42.7071641,2010-05-15,Pine Ridge / Oglala
Aix sponsa,X,-103.0162239,42.7071641,2010-05-15,Pine Ridge / Oglala
Aix sponsa,X,-100.3807068,41.8572879,2010-06-12,Bessey
Aix sponsa,2,-103.0162239,42.7071641,2010-08-26,Pine Ridge / Oglala
Aix sponsa,2,-103.0162239,42.7071641,2010-09-19,Pine Ridge / Oglala
Aix sponsa,8,-103.0162239,42.7071641,2010-09-26,Pine Ridge / Oglala
Aix sponsa,1,-100.3807068,41.8572879,2011-03-30,Bessey
Aix sponsa,2,-100.2983522,41.8992266,2011-04-02,Bessey
Aix sponsa,2,-103.0162239,42.7071641,2011-05-13,Pine Ridge / Oglala
Aix sponsa,2,-100.2983522,41.8992266,2011-05-10,Bessey
Aix sponsa,3,-100.2983522,41.8992266,2012-04-08,Bessey
Aix sponsa,2,-100.3136146,41.8722806,2012-05-19,Bessey
Aix sponsa,3,-102.998027,42.677801,2012-09-02,Pine Ridge / Oglala
Aix sponsa,1,-103.0042076,42.7448691,2013-05-25,Pine Ridge / Oglala
Aix sponsa,X,-103.6807251,42.9473762,2013-05-24,Pine Ridge / Oglala
Aix sponsa,2,-103.0042076,42.7448691,2014-05-24,Pine Ridge / Oglala
Aix sponsa,4,-103.0042076,42.7448691,2014-09-12,Pine Ridge / Oglala
Aix sponsa,1,-103.014358,42.71574,2014-09-22,Pine Ridge / Oglala
Aix sponsa,3,-103.0162239,42.7071641,2014-09-30,Pine Ridge / Oglala
Aix sponsa,1,-103.0162239,42.7071641,2014-09-23,Pine Ridge / Oglala
Aix sponsa,1,-103.0042076,42.7448691,2014-09-29,Pine Ridge / Oglala
Aix sponsa,1,-103.0042076,42.7448691,2014-09-07,Pine Ridge / Oglala
Aix sponsa,2,-100.9054473,42.6448535,2015-05-22,McKelvie
Aix sponsa,4,-100.511384,41.9710414,2015-05-13,Bessey
Aix sponsa,4,-103.0042076,42.7448691,2015-08-24,Pine Ridge / Oglala
Aix sponsa,2,-102.9797566,42.7258824,2015-08-24,Pine Ridge / Oglala
Aix sponsa,1,-103.0162239,42.7071641,2015-09-17,Pine Ridge / Oglala
Aix sponsa,3,-103.0162239,42.7071641,2015-09-22,Pine Ridge / Oglala
Aix sponsa,15,-103.011998,42.706469,2015-10-02,Pine Ridge / Oglala
Aix sponsa,2,-103.6060252,42.714241,2016-05-11,Pine Ridge / Oglala
Aix sponsa,1,-101.0355949,42.6756206,2016-06-14,McKelvie
Aix sponsa,1,-103.0162239,42.7071641,2016-08-21,Pine Ridge / Oglala
Aix sponsa,2,-103.0042076,42.7448691,2016-08-22,Pine Ridge / Oglala
Aix sponsa,1,-103.0162239,42.7071641,2016-10-03,Pine Ridge / Oglala
Aix sponsa,5,-103.0162239,42.7071641,2017-05-17,Pine Ridge / Oglala
Aix sponsa,2,-103.0042076,42.7448691,2017-05-15,Pine Ridge / Oglala
Aix sponsa,3,-103.0162239,42.7071641,2017-06-20,Pine Ridge / Oglala
Aix sponsa,3,-103.5455418,42.8627539,2017-09-15,Pine Ridge / Oglala
Aix sponsa,2,-103.0162239,42.7071641,2018-05-19,Pine Ridge / Oglala
Aix sponsa,1,-100.3807068,41.8572879,2018-05-02,Bessey
Aix sponsa,2,-103.0162239,42.7071641,2018-09-04,Pine Ridge / Oglala
Aix sponsa,3,-103.0162239,42.7071641,2018-09-12,Pine Ridge / Oglala
Aix sponsa,2,-103.0162239,42.7071641,2018-09-15,Pine Ridge / Oglala
Aix sponsa,2,-103.0042076,42.7448691,2018-10-02,Pine Ridge / Oglala
