,IOC,English name,Scientific Name
,193,,    N. p. mendozae
,194,,    N. p. doeringi
,195,Curve-billed Tinamou,Nothoprocta curvirostris
,196,,    N. c. curvirostris
,197,,    N. c. peruviana
,198,,Nothura
,199,White-bellied Nothura,Nothura boraquira
,200,Lesser Nothura,Nothura minor
,201,Darwin's Nothura,Nothura darwinii
,202,,    N. d. peruviana
,203,,    N. d. agassizii
,204,,    N. d. boliviana
,205,,    N. d. salvadorii
,206,,    N. d. darwinii
,207,Spotted Nothura,Nothura maculosa
,208,,    N. m. cearensis
,209,,    N. m. major
,210,,    N. m. paludivaga
,211,,    N. m. maculosa
,212,,    N. m. pallida
,213,,    N. m. annectens
,214,,    N. m. submontana
,215,,    N. m. nigroguttata
,216,,    N. m. chacoensis
,217,,Taoniscus
,218,Dwarf Tinamou,Taoniscus nanus
,219,,Eudromia
,220,Elegant Crested Tinamou,Eudromia elegans
,221,,    E. e. intermedia
,222,,    E. e. magnistriata
,223,,    E. e. riojana
,224,,    E. e. albida
,225,,    E. e. wetmorei
,226,,    E. e. numida
,227,,    E. e. elegans
,228,,    E. e. multiguttata
,229,,    E. e. devia
,230,,    E. e. patagonica
,231,Quebracho Crested Tinamou,Eudromia formosa
,232,,    E. f. formosa
,233,,    E. f. mira
,234,,Tinamotis
,235,Puna Tinamou,Tinamotis pentlandii
,236,Patagonian Tinamou,Tinamotis ingoufi
,237,,
,238,,NEOGNATHAE
,239,WATERFOWL & LANDFOWL,GALLOANSERES
,240,,ORDER ANSERIFORMES
,241,Screamers,Family Anhimidae
,242,,Anhima
,243,Horned Screamer,Anhima cornuta
,244,,Chauna
,245,Northern Screamer,Chauna chavaria
,246,Southern Screamer,Chauna torquata
,247,,
,248,Magpie Goose,Family Anseranatidae
,249,,Anseranas
,250,Magpie Goose,Anseranas semipalmata
,251,,
,252,"Ducks, Geese, Swans",Family Anatidae
,253,,Dendrocygna
,254,White-faced Whistling Duck,Dendrocygna viduata
,255,Black-bellied Whistling Duck,Dendrocygna autumnalis
,256,,    D. a. fulgens
,257,,    D. a. autumnalis
,258,Spotted Whistling Duck,Dendrocygna guttata
,259,West Indian Whistling Duck,Dendrocygna arborea
,260,Fulvous Whistling Duck,Dendrocygna bicolor
,261,Plumed Whistling Duck,Dendrocygna eytoni
,262,Wandering Whistling Duck,Dendrocygna arcuata
,263,,    D. a. arcuata
,264,,    D. a. pygmaea
,265,,    D. a. australis
,266,Lesser Whistling Duck,Dendrocygna javanica
,267,,Thalassornis
,268,White-backed Duck,Thalassornis leuconotus
,269,,    T. l. leuconotus
,270,,    T. l. insularis
,271,,Cereopsis
,272,Cape Barren Goose,Cereopsis novaehollandiae
,273,,    C. n. novaehollandiae
,274,,    C. n. grisea
,275,,Branta
,276,Brant Goose,Branta bernicla
,277,,    B. b. nigricans
,278,,    B. b. bernicla
,279,,    B. b. hrota
,280,Red-breasted Goose,Branta ruficollis
,281,Nene,Branta sandvicensis
,282,Canada Goose,Branta canadensis
,283,,    B. c. occidentalis
,284,,    B. c. fulva
,285,,    B. c. maxima
,286,,    B. c. parvipes
,287,,    B. c. moffitti
,288,,    B. c. interior
,289,,    B. c. canadensis
,290,Barnacle Goose,Branta leucopsis
,291,Cackling Goose,Branta hutchinsii
,292,,    B. h. leucopareia
,293,,    B. h. minima
,294,,    B. h. taverneri
,295,,    B. h. hutchinsii
,296,,Anser
,297,Bar-headed Goose,Anser indicus
,298,Emperor Goose,Anser canagicus
,299,Ross's Goose,Anser rossii
,300,Snow Goose,Anser caerulescens
,301,,    A. c. caerulescens
,302,,    A. c. atlanticus
,303,Greylag Goose,Anser anser
,304,,    A. a. anser
,305,,    A. a. rubrirostris
,306,Swan Goose,Anser cygnoides
,307,Taiga Bean Goose,Anser fabalis
,308,,    A. f. fabalis
,309,,    A. f. johanseni
,310,,    A. f. middendorffii
,311,Pink-footed Goose,Anser brachyrhynchus
,312,Tundra Bean Goose,Anser serrirostris
,313,,    A. s. rossicus
,314,,    A. s. serrirostris
,315,Greater White-fronted Goose,Anser albifrons
,316,,    A. a. flavirostris
,317,,    A. a. albifrons
,318,,    A. a. elgasi
,319,,    A. a. gambelli
,320,,    A. a. sponsa
,321,Lesser White-fronted Goose,Anser erythropus
,322,,Coscoroba
,323,Coscoroba Swan,Coscoroba coscoroba
,324,,Cygnus
,325,Black Swan,Cygnus atratus
,326,Black-necked Swan,Cygnus melancoryphus
,327,Mute Swan,Cygnus olor
,328,Trumpeter Swan,Cygnus buccinator
,329,Tundra Swan,Cygnus columbianus
,330,,    C. c. columbianus
,331,,    C. c. bewickii
,332,Whooper Swan,Cygnus cygnus
,333,,Stictonetta
,334,Freckled Duck,Stictonetta naevosa
,335,,Hymenolaimus
,336,Blue Duck,Hymenolaimus malacorhynchos
,337,,    H. m. hymenolaimus
,338,,    H. m. malacorhynchos
,339,,Tachyeres
,340,Flying Steamer Duck,Tachyeres patachonicus
,341,Fuegian Steamer Duck,Tachyeres pteneres
,342,Falkland Steamer Duck,Tachyeres brachypterus
,343,Chubut Steamer Duck,Tachyeres leucocephalus
,344,,Merganetta
,345,Torrent Duck,Merganetta armata
,346,,    M. a. colombiana
,347,,    M. a. leucogenis
,348,,    M. a. turneri
,349,,    M. a. garleppi
,350,,    M. a. berlepschi
,351,,    M. a. armata
,352,,Plectropterus
,353,Spur-winged Goose,Plectropterus gambensis
,354,,    P. g. gambensis
,355,,    P. g. niger
,356,,Sarkidiornis
,357,Comb Duck,Sarkidiornis sylvicola
,358,Knob-billed Duck,Sarkidiornis melanotos
,359,,Cyanochen
,360,Blue-winged Goose,Cyanochen cyanoptera
,361,,Alopochen
,362,Egyptian Goose,Alopochen aegyptiaca
,363,Mauritius Sheldgoose,Alopochen mauritiana
,364,Reunion Sheldgoose,Alopochen kervazoi
,365,,Neochen
,366,Orinoco Goose,Neochen jubata
,367,,Chloephaga
,368,Andean Goose,Chloephaga melanoptera
,369,Upland Goose,Chloephaga picta
,370,,    C. p. picta
