,IOC,English name,Scientific Name
,8818,Baird's Trogon,Trogon bairdii
,8819,Green-backed Trogon,Trogon viridis
,8820,Gartered Trogon,Trogon caligatus
,8821,,    T. c. sallaei
,8822,,    T. c. concinnus
,8823,,    T. c. caligatus
,8824,Amazonian Trogon,Trogon ramonianus
,8825,,    T. r. ramonianus
,8826,,    T. r. crissalis
,8827,Guianan Trogon,Trogon violaceus
,8828,Blue-crowned Trogon,Trogon curucui
,8829,,    T. c. peruvianus
,8830,,    T. c. curucui
,8831,,    T. c. behni
,8832,Surucua Trogon,Trogon surrucura
,8833,,    T. s. aurantius
,8834,,    T. s. surrucura
,8835,Black-throated Trogon,Trogon rufus
,8836,,    T. r. tenellus
,8837,,    T. r. cupreicauda
,8838,,    T. r. rufus
,8839,,    T. r. sulphureus
,8840,,    T. r. amazonicus
,8841,,    T. r. chrysochloros
,8842,Elegant Trogon,Trogon elegans
,8843,,    T. e. canescens
,8844,,    T. e. ambiguus
,8845,,    T. e. elegans
,8846,,    T. e. lubricus
,8847,,    T. e. goldmani
,8848,Mountain Trogon,Trogon mexicanus
,8849,,    T. m. clarus
,8850,,    T. m. mexicanus
,8851,Collared Trogon,Trogon collaris
,8852,,    T. c. puella
,8853,,    T. c. underwoodi
,8854,,    T. c. aurantiiventris
,8855,,    T. c. extimus
,8856,,    T. c. heothinus
,8857,,    T. c. virginalis
,8858,,    T. c. subtropicalis
,8859,,    T. c. exoptatus
,8860,,    T. c. collaris
,8861,,    T. c. castaneus
,8862,Masked Trogon,Trogon personatus
,8863,,    T. p. sanctaemartae
,8864,,    T. p. ptaritepui
,8865,,    T. p. duidae
,8866,,    T. p. roraimae
,8867,,    T. p. personatus
,8868,,    T. p. assimilis
,8869,,    T. p. temperatus
,8870,,    T. p. heliothrix
,8871,,    T. p. submontanus
,8872,,Apaloderma
,8873,Narina Trogon,Apaloderma narina
,8874,,    A. n. constantia
,8875,,    A. n. brachyurum
,8876,,    A. n. narina
,8877,,    A. n. littorale
,8878,Bare-cheeked Trogon,Apaloderma aequatoriale
,8879,Bar-tailed Trogon,Apaloderma vittatum
,8880,,Apalharpactes
,8881,Javan Trogon,Apalharpactes reinwardtii
,8882,Sumatran Trogon,Apalharpactes mackloti
,8883,,Harpactes
,8884,Malabar Trogon,Harpactes fasciatus
,8885,,    H. f. malabaricus
,8886,,    H. f. legerli
,8887,,    H. f. fasciatus
,8888,Red-naped Trogon,Harpactes kasumba
,8889,,    H. k. kasumba
,8890,,    H. k. impavidus
,8891,Diard's Trogon,Harpactes diardii
,8892,,    H. d. sumatranus
,8893,,    H. d. diardii
,8894,Philippine Trogon,Harpactes ardens
,8895,,    H. a. herberti
,8896,,    H. a. luzoniensis
,8897,,    H. a. minor
,8898,,    H. a. linae
,8899,,    H. a. ardens
,8900,Whitehead's Trogon,Harpactes whiteheadi
,8901,Cinnamon-rumped Trogon,Harpactes orrhophaeus
,8902,,    H. o. orrhophaeus
,8903,,    H. o. vidua
,8904,Scarlet-rumped Trogon,Harpactes duvaucelii
,8905,Orange-breasted Trogon,Harpactes oreskios
,8906,,    H. o. stellae
,8907,,    H. o. uniformis
,8908,,    H. o. oreskios
,8909,,    H. o. dulitensis
,8910,,    H. o. nias
,8911,Red-headed Trogon,Harpactes erythrocephalus
,8912,,    H. e. erythrocephalus
,8913,,    H. e. helenae
,8914,,    H. e. yamakanensis
,8915,,    H. e. intermedius
,8916,,    H. e. annamensis
,8917,,    H. e. klossi
,8918,,    H. e. chaseni
,8919,,    H. e. hainanus
,8920,,    H. e. flagrans
,8921,Ward's Trogon,Harpactes wardi
,8922,,
,8923,,ORDER BUCEROTIFORMES
,8924,Hoopoes,Family Upupidae
,8925,,Upupa
,8926,Eurasian Hoopoe,Upupa epops
,8927,,    U. e. epops
,8928,,    U. e. ceylonensis
,8929,,    U. e. longirostris
,8930,,    U. e. major
,8931,,    U. e. senegalensis
,8932,,    U. e. waibeli
,8933,African Hoopoe,Upupa africana
,8934,Madagascar Hoopoe,Upupa marginata
,8935,St. Helena Hoopoe,Upupa antaios
,8936,,
,8937,Wood Hoopoes,Family Phoeniculidae
,8938,,Phoeniculus
,8939,Forest Wood Hoopoe,Phoeniculus castaneiceps
,8940,,    P. c. castaneiceps
,8941,,    P. c. brunneiceps
,8942,White-headed Wood Hoopoe,Phoeniculus bollei
,8943,,    P. b. bollei
,8944,,    P. b. jacksoni
,8945,,    P. b. okuensis
,8946,Green Wood Hoopoe,Phoeniculus purpureus
,8947,,    P. p. senegalensis
,8948,,    P. p. guineensis
,8949,,    P. p. niloticus
,8950,,    P. p. marwitzi
,8951,,    P. p. angolensis
,8952,,    P. p. purpureus
,8953,Black-billed Wood Hoopoe,Phoeniculus somaliensis
,8954,,    P. s. abyssinicus
,8955,,    P. s. somaliensis
,8956,,    P. s. neglectus
,8957,Violet Wood Hoopoe,Phoeniculus damarensis
,8958,Grant's Wood Hoopoe,Phoeniculus granti
,8959,,Rhinopomastus
,8960,Black Scimitarbill,Rhinopomastus aterrimus
,8961,,    R. a. aterrimus
,8962,,    R. a. emini
,8963,,    R. a. notatus
,8964,,    R. a. anchietae
,8965,Common Scimitarbill,Rhinopomastus cyanomelas
,8966,,    R. c. schalowi
,8967,,    R. c. cyanomelas
,8968,Abyssinian Scimitarbill,Rhinopomastus minor
,8969,,    R. m. minor
,8970,,    R. m. cabanisi
,8971,,
,8972,Ground Hornbills,Family Bucorvidae
,8973,,Bucorvus
,8974,Abyssinian Ground Hornbill,Bucorvus abyssinicus
,8975,Southern Ground Hornbill,Bucorvus leadbeateri
,8976,,
,8977,Hornbills,Family Bucerotidae
,8978,,Tockus
,8979,Tanzanian Red-billed Hornbill,Tockus ruahae
,8980,Western Red-billed Hornbill,Tockus kempi
,8981,Damara Red-billed Hornbill,Tockus damarensis
,8982,Southern Red-billed Hornbill,Tockus rufirostris
,8983,Northern Red-billed Hornbill,Tockus erythrorhynchus
,8984,Monteiro's Hornbill,Tockus monteiri
,8985,Von der Decken's Hornbill,Tockus deckeni
,8986,Jackson's Hornbill,Tockus jacksoni
,8987,Southern Yellow-billed Hornbill,Tockus leucomelas
,8988,,    T. l. elegans
,8989,,    T. l. leucomelas
,8990,Eastern Yellow-billed Hornbill,Tockus flavirostris
,8991,,Lophoceros
,8992,Bradfield's Hornbill,Lophoceros bradfieldi
,8993,Crowned Hornbill,Lophoceros alboterminatus
,8995,West African Pied Hornbill,Lophoceros semifasciatus
,8994,Congo Pied Hornbill,Lophoceros fasciatus
,8997,Hemprich's Hornbill,Lophoceros hemprichii
,8998,African Grey Hornbill,Lophoceros nasutus
,8999,,    L. n. nasutus
,9000,,    L. n. epirhinus
,9001,Red-billed Dwarf Hornbill,Lophoceros camurus
,9002,Pale-billed Hornbill,Lophoceros pallidirostris
,9003,,    L. p. pallidirostris
,9004,,    L. p. neumanni
,9005,,Bycanistes
,9006,Piping Hornbill,Bycanistes fistulator
,9007,,    B. f. fistulator
,9008,,    B. f. sharpii
,9009,,    B. f. duboisi
,9010,Trumpeter Hornbill,Bycanistes bucinator
,9011,Brown-cheeked Hornbill,Bycanistes cylindricus
,9012,White-thighed Hornbill,Bycanistes albotibialis
,9013,Black-and-white-casqued Hornbill,Bycanistes subcylindricus
,9014,,    B. s. subcylindricus
,9015,,    B. s. subquadratus
,9016,Silvery-cheeked Hornbill,Bycanistes brevis
,9017,,Ceratogymna
,9018,Black-casqued Hornbill,Ceratogymna atrata
,9019,Yellow-casqued Hornbill,Ceratogymna elata
,9020,,Horizocerus
,9021,Black Dwarf Hornbill,Horizocerus hartlaubi
,9022,,    H. h. hartlaubi
,9023,,    H. h. granti
,9024,White-crested Hornbill,Horizocerus albocristatus
,9025,,    H. a. albocristatus
,9026,,    H. a. macrourus
,9027,,    H. a. cassini
,9028,,Berenicornis
,9029,White-crowned Hornbill,Berenicornis comatus
,9030,,Buceros
,9031,Rhinoceros Hornbill,Buceros rhinoceros
,9032,,    B. r. borneoensis
,9033,,    B. r. rhinoceros
,9034,,    B. r. silvestris
,9035,Great Hornbill,Buceros bicornis
,9036,Rufous Hornbill,Buceros hydrocorax
,9037,,    B. h. hydrocorax
,9038,,    B. h. semigaleatus
,9039,,    B. h. mindanensis
,9040,,Rhinoplax
,9041,Helmeted Hornbill,Rhinoplax vigil
,9042,,Anthracoceros
,9043,Palawan Hornbill,Anthracoceros marchei
,9044,Oriental Pied Hornbill,Anthracoceros albirostris
,9045,,    A. a. albirostris
,9046,,    A. a. convexus
,9047,Malabar Pied Hornbill,Anthracoceros coronatus
,9048,Sulu Hornbill,Anthracoceros montani
,9049,Black Hornbill,Anthracoceros malayanus
,9050,,Ocyceros
,9051,Malabar Grey Hornbill,Ocyceros griseus
,9052,Sri Lanka Grey Hornbill,Ocyceros gingalensis
,9053,Indian Grey Hornbill,Ocyceros birostris
,9054,,Anorrhinus
,9055,Tickell's Brown Hornbill,Anorrhinus tickelli
,9056,Austen's Brown Hornbill,Anorrhinus austeni
,9057,Bushy-crested Hornbill,Anorrhinus galeritus
,9058,,Aceros
,9059,Rufous-necked Hornbill,Aceros nipalensis
,9060,,Rhyticeros
,9061,Blyth's Hornbill,Rhyticeros plicatus
,9062,Narcondam Hornbill,Rhyticeros narcondami
,9063,Wreathed Hornbill,Rhyticeros undulatus
,9064,Sumba Hornbill,Rhyticeros everetti
,9065,Plain-pouched Hornbill,Rhyticeros subruficollis
,9066,Knobbed Hornbill,Rhyticeros cassidix
,9067,,Rhabdotorrhinus
,9068,Walden's Hornbill,Rhabdotorrhinus waldeni
,9069,Writhed Hornbill,Rhabdotorrhinus leucocephalus
,9070,Sulawesi Hornbill,Rhabdotorrhinus exarhatus
,9071,,    R. e. exarhatus
,9072,,    R. e. sanfordi
,9073,Wrinkled Hornbill,Rhabdotorrhinus corrugatus
,9074,,Penelopides
,9075,Luzon Hornbill,Penelopides manillae
,9076,,    P. m. manillae
,9077,,    P. m. subniger
,9078,Mindoro Hornbill,Penelopides mindorensis
,9079,Mindanao Hornbill,Penelopides affinis
,9080,,    P. a. affinis
,9081,,    P. a. basilanicus
,9082,Samar Hornbill,Penelopides samarensis
,9083,Visayan Hornbill,Penelopides panini
,9084,,    P. p. ticaensis
,9085,,    P. p. panini
,9086,,
,9087,,ORDER CORACIIFORMES
,9088,Rollers,Family Coraciidae
,9089,,Coracias
,9090,Purple Roller,Coracias naevius
,9091,,    C. n. naevius
,9092,,    C. n. mosambicus
,9093,Indian Roller,Coracias benghalensis
,9094,,    C. b. benghalensis
,9095,,    C. b. indicus
,9096,Indochinese Roller,Coracias affinis
,9097,Purple-winged Roller,Coracias temminckii
,9098,Racket-tailed Roller,Coracias spatulatus
,9099,Lilac-breasted Roller,Coracias caudatus
,9100,,    C. c. lorti
,9101,,    C. c. caudatus
,9102,Abyssinian Roller,Coracias abyssinicus
,9103,European Roller,Coracias garrulus
,9104,,    C. g. garrulus
,9105,,    C. g. semenowi
,9106,Blue-bellied Roller,Coracias cyanogaster
,9107,,Eurystomus
,9108,Blue-throated Roller,Eurystomus gularis
,9109,,    E. g. gularis
,9110,,    E. g. neglectus
,9111,Broad-billed Roller,Eurystomus glaucurus
,9112,,    E. g. aethiopicus
,9113,,    E. g. afer
,9114,,    E. g. suahelicus
,9115,,    E. g. glaucurus
,9116,Oriental Dollarbird,Eurystomus orientalis
,9117,,    E. o. cyanocollis
,9118,,    E. o. orientalis
,9119,,    E. o. laetior
,9120,,    E. o. gigas
,9121,,    E. o. irisi
,9122,,    E. o. oberholseri
,9123,,    E. o. pacificus
,9124,,    E. o. waigiouensis
,9125,,    E. o. crassirostris
,9126,,    E. o. solomonensis
,9127,Azure Dollarbird,Eurystomus azureus
,9128,,
,9129,Ground Rollers,Family Brachypteraciidae
,9130,,Brachypteracias
,9131,Short-legged Ground Roller,Brachypteracias leptosomus
,9132,,Geobiastes
,9133,Scaly Ground Roller,Geobiastes squamiger
,9134,,Atelornis
,9135,Pitta-like Ground Roller,Atelornis pittoides
,9136,Rufous-headed Ground Roller,Atelornis crossleyi
,9137,,Uratelornis
,9138,Long-tailed Ground Roller,Uratelornis chimaera
,9139,,
,9140,Kingfishers,Family Alcedinidae
,9141,,Actenoides
,9142,Green-backed Kingfisher,Actenoides monachus
,9143,,    A. m. monachus
,9144,,    A. m. capucinus
,9145,Scaly-breasted Kingfisher,Actenoides princeps
,9146,,    A. p. princeps
,9147,,    A. p. erythrorhamphus
,9148,,    A. p. regalis
,9149,Moustached Kingfisher,Actenoides bougainvillei
,9150,,    A. b. bougainvillei
,9151,,    A. b. excelsus
,9152,Spotted Wood Kingfisher,Actenoides lindsayi
,9153,,    A. l. lindsayi
,9154,,    A. l. moseleyi
,9155,Hombron's Kingfisher,Actenoides hombroni
,9156,Rufous-collared Kingfisher,Actenoides concretus
,9157,,    A. c. peristephes
,9158,,    A. c. concretus
,9159,,    A. c. borneanus
,9160,,Melidora
,9161,Hook-billed Kingfisher,Melidora macrorrhina
,9162,,    M. m. waigiuensis
,9163,,    M. m. macrorrhina
,9164,,    M. m. jobiensis
,9165,,Lacedo
,9166,Banded Kingfisher,Lacedo pulchella
,9167,,    L. p. amabilis
,9168,,    L. p. pulchella
,9169,,    L. p. melanops
,9170,,Tanysiptera
,9171,Common Paradise Kingfisher,Tanysiptera galatea
,9172,,    T. g. emiliae
,9173,,    T. g. doris
,9174,,    T. g. browningi
,9175,,    T. g. brunhildae
,9176,,    T. g. margarethae
,9177,,    T. g. sabrina
,9178,,    T. g. obiensis
,9179,,    T. g. acis
,9180,,    T. g. boanensis
,9181,,    T. g. nais
,9182,,    T. g. galatea
,9183,,    T. g. meyeri
,9184,,    T. g. minor
,9185,,    T. g. vulcani
,9186,,    T. g. rosseliana
,9187,Kofiau Paradise Kingfisher,Tanysiptera ellioti
,9188,Biak Paradise Kingfisher,Tanysiptera riedelii
,9189,Numfor Paradise Kingfisher,Tanysiptera carolinae
,9190,Little Paradise Kingfisher,Tanysiptera hydrocharis
,9191,Buff-breasted Paradise Kingfisher,Tanysiptera sylvia
,9192,,    T. s. salvadoriana
,9193,,    T. s. sylvia
,9194,Black-capped Paradise Kingfisher,Tanysiptera nigriceps
,9195,,    T. n. leucura
,9196,,    T. n. nigriceps
,9197,Red-breasted Paradise Kingfisher,Tanysiptera nympha
,9198,Brown-headed Paradise Kingfisher,Tanysiptera danae
,9199,,Cittura
,9200,Sulawesi Lilac Kingfisher,Cittura cyanotis
,9201,Sangihe Lilac Kingfisher,Cittura sanghirensis
,9202,,Dacelo
,9203,Shovel-billed Kookaburra,Dacelo rex
,9204,Spangled Kookaburra,Dacelo tyro
,9205,,    D. t. archboldi
,9206,,    D. t. tyro
,9207,Rufous-bellied Kookaburra,Dacelo gaudichaud
,9208,Laughing Kookaburra,Dacelo novaeguineae
,9209,,    D. n. minor
,9210,,    D. n. novaeguineae
,9211,Blue-winged Kookaburra,Dacelo leachii
,9212,,    D. l. superflua
,9213,,    D. l. intermedia
,9214,,    D. l. cervina
,9215,,    D. l. occidentalis
,9216,,    D. l. leachii
,9217,,Caridonax
,9218,White-rumped Kingfisher,Caridonax fulgidus
,9219,,Pelargopsis
,9220,Stork-billed Kingfisher,Pelargopsis capensis
,9221,,    P. c. capensis
,9222,,    P. c. osmastoni
,9223,,    P. c. intermedia
,9224,,    P. c. burmanica
,9225,,    P. c. malaccensis
,9226,,    P. c. cyanopteryx
,9227,,    P. c. simalurensis
,9228,,    P. c. sodalis
,9229,,    P. c. innominata
,9230,,    P. c. javana
,9231,,    P. c. floresiana
,9232,,    P. c. gouldi
,9233,,    P. c. gigantea
,9234,Great-billed Kingfisher,Pelargopsis melanorhyncha
,9235,,    P. m. melanorhyncha
,9236,,    P. m. dichrorhyncha
,9237,,    P. m. eutreptorhyncha
,9238,Brown-winged Kingfisher,Pelargopsis amauroptera
,9239,,Halcyon
,9240,Ruddy Kingfisher,Halcyon coromanda
,9241,,    H. c. coromanda
,9242,,    H. c. major
,9243,,    H. c. bangsi
,9244,,    H. c. mizorhina
,9245,,    H. c. minor
,9246,,    H. c. linae
,9247,,    H. c. claudiae
,9248,,    H. c. rufa
,9249,,    H. c. pelingensis
,9250,,    H. c. sulana
,9251,White-throated Kingfisher,Halcyon smyrnensis
,9252,,    H. s. smyrnensis
,9253,,    H. s. fusca
,9254,,    H. s. perpulchra
,9255,,    H. s. saturatior
,9256,,    H. s. fokiensis
,9257,Brown-breasted Kingfisher,Halcyon gularis
,9258,Javan Kingfisher,Halcyon cyanoventris
,9259,Chocolate-backed Kingfisher,Halcyon badia
,9260,Black-capped Kingfisher,Halcyon pileata
,9261,Grey-headed Kingfisher,Halcyon leucocephala
,9262,,    H. l. acteon
,9263,,    H. l. leucocephala
,9264,,    H. l. semicaerulea
,9265,,    H. l. hyacinthina
,9266,,    H. l. pallidiventris
,9267,Brown-hooded Kingfisher,Halcyon albiventris
,9268,,    H. a. albiventris
,9269,,    H. a. orientalis
,9270,,    H. a. prentissgrayi
,9271,,    H. a. vociferans
,9272,Striped Kingfisher,Halcyon chelicuti
,9273,,    H. c. eremogiton
,9274,,    H. c. chelicuti
,9275,Blue-breasted Kingfisher,Halcyon malimbica
,9276,,    H. m. torquata
,9277,,    H. m. forbesi
,9278,,    H. m. dryas
,9279,,    H. m. malimbica
,9280,Woodland Kingfisher,Halcyon senegalensis
,9281,,    H. s. fuscopileus
,9282,,    H. s. senegalensis
,9283,,    H. s. cyanoleuca
,9284,Mangrove Kingfisher,Halcyon senegaloides
,9285,,Todiramphus
,9286,Blue-black Kingfisher,Todiramphus nigrocyaneus
,9287,,    T. n. nigrocyaneus
,9288,,    T. n. quadricolor
,9289,,    T. n. stictolaemus
,9290,Winchell's Kingfisher,Todiramphus winchelli
,9291,,    T. w. nigrorum
,9292,,    T. w. nesydrionetes
,9293,,    T. w. mindanensis
,9294,,    T. w. winchelli
,9295,,    T. w. alfredi
,9296,Blue-and-white Kingfisher,Todiramphus diops
,9297,Lazuli Kingfisher,Todiramphus lazuli
,9298,Forest Kingfisher,Todiramphus macleayii
,9299,,    T. m. elisabeth
,9300,,    T. m. macleayii
,9301,,    T. m. incinctus
,9302,White-mantled Kingfisher,Todiramphus albonotatus
,9303,Ultramarine Kingfisher,Todiramphus leucopygius
,9304,Vanuatu Kingfisher,Todiramphus farquhari
,9305,Sombre Kingfisher,Todiramphus funebris
,9306,Collared Kingfisher,Todiramphus chloris
,9307,,    T. c. abyssinicus
,9308,,    T. c. kalbaensis
,9309,,    T. c. vidali
,9310,,    T. c. davisoni
,9311,,    T. c. occipitalis
,9312,,    T. c. humii
,9313,,    T. c. armstrongi
,9314,,    T. c. laubmannianus
,9315,,    T. c. chloropterus
,9316,,    T. c. azelus
,9317,,    T. c. palmeri
,9318,,    T. c. collaris
,9319,,    T. c. chloris
,9320,,    T. c. teraokai
,9321,Torresian Kingfisher,Todiramphus sordidus
,9322,,    T. s. sordidus
,9323,,    T. s. pilbara
,9324,,    T. s. colcloughi
,9325,Islet Kingfisher,Todiramphus colonus
,9326,Mariana Kingfisher,Todiramphus albicilla
,9327,,    T. a. owstoni
,9328,,    T. a. albicilla
,9329,,    T. a. orii
,9330,Melanesian Kingfisher,Todiramphus tristrami
,9331,,    T. t. nusae
,9332,,    T. t. matthiae
,9333,,    T. t. stresemanni
,9334,,    T. t. novaehiberniae
,9335,,    T. t. bennetti
,9336,,    T. t. tristrami
,9337,,    T. t. alberti
,9338,Pacific Kingfisher,Todiramphus sacer
,9339,,    T. s. torresianus
,9340,,    T. s. santoensis
,9341,,    T. s. juliae
,9342,,    T. s. erromangae
,9343,,    T. s. tannensis
,9344,,    T. s. sacer
,9345,,    T. s. pealei
,9346,,    T. s. manuae
,9347,,    T. s. pavuvu
,9348,,    T. s. mala
,9349,,    T. s. amoenus
,9350,,    T. s. sororum
,9351,,    T. s. solomonis
,9352,,    T. s. brachyurus
,9353,,    T. s. vicina
,9354,,    T. s. ornatus
,9355,,    T. s. utupuae
,9356,,    T. s. melanodera
,9357,,    T. s. vitiensis
,9358,,    T. s. eximius
,9359,,    T. s. regina
,9360,,    T. s. marinus
,9361,Talaud Kingfisher,Todiramphus enigma
,9362,Guam Kingfisher,Todiramphus cinnamominus
,9363,Rusty-capped Kingfisher,Todiramphus pelewensis
,9364,Pohnpei Kingfisher,Todiramphus reichenbachii
,9365,Beach Kingfisher,Todiramphus saurophagus
,9366,,    T. s. saurophagus
,9367,,    T. s. anachoreta
,9368,,    T. s. admiralitatis
,9369,Sacred Kingfisher,Todiramphus sanctus
,9370,,    T. s. sanctus
,9371,,    T. s. vagans
,9372,,    T. s. norfolkiensis
,9373,,    T. s. canacorum
,9374,,    T. s. macmillani
,9375,Flat-billed Kingfisher,Todiramphus recurvirostris
,9376,Cinnamon-banded Kingfisher,Todiramphus australasia
,9377,,    T. a. australasia
,9378,,    T. a. dammerianus
,9379,,    T. a. odites
,9380,Chattering Kingfisher,Todiramphus tutus
,9381,,    T. t. tutus
,9382,,    T. t. atiu
,9383,,    T. t. mauke
,9384,Mewing Kingfisher,Todiramphus ruficollaris
,9385,Society Kingfisher,Todiramphus veneratus
,9386,,    T. v. veneratus
,9387,,    T. v. youngi
,9388,Mangareva Kingfisher,Todiramphus gambieri
,9389,Niau Kingfisher,Todiramphus gertrudae
,9390,Marquesan Kingfisher,Todiramphus godeffroyi
,9391,Red-backed Kingfisher,Todiramphus pyrrhopygius
,9392,,Syma
,9393,Yellow-billed Kingfisher,Syma torotoro
,9394,,    S. t. torotoro
,9395,,    S. t. ochracea
,9396,,    S. t. flavirostris
,9397,Mountain Kingfisher,Syma megarhyncha
,9398,,    S. m. sellamontis
,9399,,    S. m. megarhyncha
,9400,,Ispidina
,9401,African Dwarf Kingfisher,Ispidina lecontei
,9402,,    I. l. ruficeps
,9403,,    I. l. lecontei
,9404,African Pygmy Kingfisher,Ispidina picta
,9405,,    I. p. picta
,9406,,    I. p. ferrugina
,9407,,    I. p. natalensis
,9408,,Corythornis
,9409,Madagascar Pygmy Kingfisher,Corythornis madagascariensis
,9410,,    C. m. madagascariensis
,9411,,    C. m. dilutus
,9412,White-bellied Kingfisher,Corythornis leucogaster
,9413,,    C. l. bowdleri
,9414,,    C. l. leucogaster
,9415,,    C. l. leopoldi
,9416,Malachite Kingfisher,Corythornis cristatus
,9417,,    C. c. galeritus
,9418,,    C. c. nais
,9419,,    C. c. thomensis
,9420,,    C. c. cristatus
,9421,,    C. c. stuartkeithi
,9422,Malagasy Kingfisher,Corythornis vintsioides
,9423,,    C. v. johannae
,9424,,    C. v. vintsioides
,9425,,Alcedo
,9426,Cerulean Kingfisher,Alcedo coerulescens
,9427,Malaysian Blue-banded Kingfisher,Alcedo peninsulae
,9428,Javan Blue-banded Kingfisher,Alcedo euryzona
,9429,Shining-blue Kingfisher,Alcedo quadribrachys
,9430,,    A. q. quadribrachys
,9431,,    A. q. guentheri
,9432,Blue-eared Kingfisher,Alcedo meninting
,9433,,    A. m. coltarti
,9434,,    A. m. phillipsi
,9435,,    A. m. scintillans
,9436,,    A. m. rufigastra
,9437,,    A. m. meninting
,9438,Common Kingfisher,Alcedo atthis
,9439,,    A. a. ispida
,9440,,    A. a. atthis
,9441,,    A. a. bengalensis
,9442,,    A. a. taprobana
,9443,,    A. a. floresiana
,9444,,    A. a. hispidoides
,9445,,    A. a. salomonensis
,9446,Half-collared Kingfisher,Alcedo semitorquata
,9447,Blyth's Kingfisher,Alcedo hercules
,9448,,Ceyx
,9449,Oriental Dwarf Kingfisher,Ceyx erithaca
,9450,,    C. e. erithaca
,9451,,    C. e. macrocarus
,9452,,    C. e. motleyi
,9453,Philippine Dwarf Kingfisher,Ceyx melanurus
,9454,,    C. m. melanurus
,9455,,    C. m. samarensis
,9456,,    C. m. platenae
,9457,Sangihe Dwarf Kingfisher,Ceyx sangirensis
,9458,Sulawesi Dwarf Kingfisher,Ceyx fallax
,9459,Moluccan Dwarf Kingfisher,Ceyx lepidus
,9460,,    C. l. uropygialis
,9461,,    C. l. lepidus
,9462,Dimorphic Dwarf Kingfisher,Ceyx margarethae
,9463,Sula Dwarf Kingfisher,Ceyx wallacii
,9464,Buru Dwarf Kingfisher,Ceyx cajeli
,9465,Papuan Dwarf Kingfisher,Ceyx solitarius
,9466,Manus Dwarf Kingfisher,Ceyx dispar
,9467,New Ireland Dwarf Kingfisher,Ceyx mulcatus
,9468,New Britain Dwarf Kingfisher,Ceyx sacerdotis
,9469,North Solomons Dwarf Kingfisher,Ceyx meeki
,9470,,    C. m. meeki
,9471,,    C. m. pallidus
,9472,New Georgia Dwarf Kingfisher,Ceyx collectoris
,9473,Guadalcanal Dwarf Kingfisher,Ceyx nigromaxilla
,9474,,    C. n. malaitae
,9475,,    C. n. nigromaxilla
,9476,Makira Dwarf Kingfisher,Ceyx gentianus
,9477,Indigo-banded Kingfisher,Ceyx cyanopectus
,9478,,    C. c. cyanopectus
,9479,,    C. c. nigrirostris
,9480,Southern Silvery Kingfisher,Ceyx argentatus
,9481,Northern Silvery Kingfisher,Ceyx flumenicola
,9482,Azure Kingfisher,Ceyx azureus
,9483,,    C. a. affinis
,9484,,    C. a. yamdenae
,9485,,    C. a. lessonii
,9486,,    C. a. ochrogaster
,9487,,    C. a. ruficollaris
,9488,,    C. a. azureus
,9489,,    C. a. diemenensis
,9490,Bismarck Kingfisher,Ceyx websteri
,9491,Little Kingfisher,Ceyx pusillus
,9492,,    C. p. halmaherae
,9493,,    C. p. laetior
,9494,,    C. p. pusillus
,9495,,    C. p. ramsayi
,9496,,    C. p. halli
,9497,,    C. p. masauji
,9498,,    C. p. bougainvillei
,9499,,    C. p. richardsi
,9500,,    C. p. aolae
,9501,,Chloroceryle
,9502,Amazon Kingfisher,Chloroceryle amazona
,9503,American Pygmy Kingfisher,Chloroceryle aenea
,9504,,    C. a. stictoptera
,9505,,    C. a. aenea
,9506,Green Kingfisher,Chloroceryle americana
,9507,,    C. a. hachisukai
,9508,,    C. a. septentrionalis
,9509,,    C. a. americana
,9510,,    C. a. mathewsii
,9511,,    C. a. cabanisii
,9512,Green-and-rufous Kingfisher,Chloroceryle inda
,9513,,    C. i. inda
,9514,,    C. i. chocoensis
,9515,,Megaceryle
,9516,Crested Kingfisher,Megaceryle lugubris
,9517,,    M. l. continentalis
,9518,,    M. l. guttulata
,9519,,    M. l. pallida
,9520,,    M. l. lugubris
,9521,Giant Kingfisher,Megaceryle maxima
,9522,,    M. m. maxima
,9523,,    M. m. gigantea
,9524,Ringed Kingfisher,Megaceryle torquata
,9525,,    M. t. stictipennis
,9526,,    M. t. torquata
,9527,,    M. t. stellata
,9528,Belted Kingfisher,Megaceryle alcyon
,9529,,Ceryle
,9530,Pied Kingfisher,Ceryle rudis
,9531,,    C. r. syriacus
,9532,,    C. r. rudis
,9533,,    C. r. leucomelanurus
,9534,,    C. r. travancoreensis
,9535,,    C. r. insignis
,9536,,
,9537,Todies,Family Todidae
,9538,,Todus
,9539,Cuban Tody,Todus multicolor
,9540,Broad-billed Tody,Todus subulatus
,9541,Narrow-billed Tody,Todus angustirostris
,9542,Jamaican Tody,Todus todus
,9543,Puerto Rican Tody,Todus mexicanus
,9544,,
,9545,Motmots,Family Momotidae
,9546,,Hylomanes
,9547,Tody Motmot,Hylomanes momotula
,9548,,    H. m. chiapensis
,9549,,    H. m. momotula
,9550,,    H. m. obscurus
,9551,,Aspatha
,9552,Blue-throated Motmot,Aspatha gularis
,9553,,Momotus
,9554,Russet-crowned Motmot,Momotus mexicanus
,9555,,    M. m. vanrossemi
,9556,,    M. m. mexicanus
,9557,,    M. m. saturatus
,9558,,    M. m. castaneiceps
,9559,Blue-capped Motmot,Momotus coeruliceps
,9560,Lesson's Motmot,Momotus lessonii
,9561,,    M. l. goldmani
