IOC,English name,Scientific name,Zimmer 1913,Ford 1957,Bray 1993,GBIF 2023,Bessey,McKelvie,Pine Ridge / Oglala
5992,Red-necked Phalarope,Phalaropus lobatus,NA,NA,NA,NA,NA,NA,Confirmed
5996,Spotted Sandpiper,Actitis macularius,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
5999,Solitary Sandpiper,Tringa solitaria,Confirmed,NA,Confirmed,NA,Confirmed,Confirmed,Confirmed
6004,Lesser Yellowlegs,Tringa flavipes,NA,NA,Confirmed,NA,Confirmed,Confirmed,Confirmed
6005,Willet,Tringa semipalmata,NA,NA,NA,NA,NA,Confirmed,NA
6020,Greater Yellowlegs,Tringa melanoleuca,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
6153,Franklin's Gull,Leucophaeus pipixcan,Confirmed,NA,Confirmed,NA,Confirmed,NA,Confirmed
6175,Ring-billed Gull,Larus delawarensis,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
6253,Least Tern,Sternula antillarum,NA,NA,Confirmed,NA,Confirmed,NA,NA
6309,Forster's Tern,Sterna forsteri,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,NA
6319,Black Tern,Chlidonias niger,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
6447,Common Loon,Gavia immer,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
6898,Double-crested Cormorant,Nannopterum auritum,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
6981,Glossy Ibis,Plegadis falcinellus,NA,NA,NA,NA,NA,Confirmed,NA
6982,White-faced Ibis,Plegadis chihi,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
7029,American Bittern,Botaurus lentiginosus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
7062,Black-crowned Night Heron,Nycticorax nycticorax,Confirmed,NA,Confirmed,NA,Confirmed,NA,Confirmed
7087,Green Heron,Butorides virescens,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,NA
7125,Western Cattle Egret,Bubulcus ibis,NA,NA,NA,NA,NA,Confirmed,Confirmed
7133,Great Blue Heron,Ardea herodias,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
7151,Great Egret,Ardea alba,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
7210,American White Pelican,Pelecanus erythrorhynchos,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
7235,Turkey Vulture,Cathartes aura,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
7253,Osprey,Pandion haliaetus,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
7506,Golden Eagle,Aquila chrysaetos,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
7701,Sharp-shinned Hawk,Accipiter striatus,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
7712,Cooper's Hawk,Accipiter cooperii,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
7733.5,American Goshawk,Accipiter atricapillus,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
7752,Northern Harrier,Circus hudsonius,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
7786,Bald Eagle,Haliaeetus leucocephalus,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
7897,Red-shouldered Hawk,Buteo lineatus,NA,NA,Hypothetical,NA,Hypothetical,NA,NA
7904,Broad-winged Hawk,Buteo platypterus,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
7916,Swainson's Hawk,Buteo swainsoni,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
7919,Red-tailed Hawk,Buteo jamaicensis,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
7933,Ferruginous Hawk,Buteo regalis,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
7934,Rough-legged Buzzard,Buteo lagopus,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
7993,Western Barn Owl,Tyto alba,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
8155,Northern Saw-whet Owl,Aegolius acadicus,NA,NA,Hypothetical,Confirmed,Confirmed,NA,Confirmed
8165,Burrowing Owl,Athene cunicularia,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
8426,Long-eared Owl,Asio otus,NA,NA,Confirmed,NA,Confirmed,NA,NA
8442,Short-eared Owl,Asio flammeus,Confirmed,NA,Confirmed,NA,Confirmed,NA,Confirmed
8462,Snowy Owl,Bubo scandiacus,NA,NA,NA,NA,NA,NA,Confirmed
8463,Great Horned Owl,Bubo virginianus,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
8585,Eastern Screech Owl,Megascops asio,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
8684,Barred Owl,Strix varia,NA,NA,NA,NA,NA,NA,Confirmed
9528,Belted Kingfisher,Megaceryle alcyon,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
10393,Lewis's Woodpecker,Melanerpes lewis,NA,NA,Hypothetical,NA,Hypothetical,NA,Confirmed
10396,Red-headed Woodpecker,Melanerpes erythrocephalus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
10444,Red-bellied Woodpecker,Melanerpes carolinus,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
10455,Yellow-bellied Sapsucker,Sphyrapicus varius,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
10456,Red-naped Sapsucker,Sphyrapicus nuchalis,NA,NA,NA,NA,NA,NA,Confirmed
10553,American Three-toed Woodpecker,Picoides dorsalis,NA,NA,NA,NA,NA,NA,Confirmed
10629,Downy Woodpecker,Dryobates pubescens,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
10715,Hairy Woodpecker,Leuconotopicus villosus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
10865,Northern Flicker,Colaptes auratus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
11254,American Kestrel,Falco sparverius,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
11292,Merlin,Falco columbarius,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
11335,Prairie Falcon,Falco mexicanus,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
11336,Peregrine Falcon,Falco peregrinus,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
15549,Eastern Phoebe,Sayornis phoebe,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
15557,Say's Phoebe,Sayornis saya,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
15568,Olive-sided Flycatcher,Contopus cooperi,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
15581,Western Wood Pewee,Contopus sordidulus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
15586,Eastern Wood Pewee,Contopus virens,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
15615,Yellow-bellied Flycatcher,Empidonax flaviventris,NA,NA,Confirmed,NA,Confirmed,NA,NA
15617,Willow Flycatcher,Empidonax traillii,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
15622,Alder Flycatcher,Empidonax alnorum,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
15627,Least Flycatcher,Empidonax minimus,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
15628,Hammond's Flycatcher,Empidonax hammondii,NA,NA,NA,NA,NA,NA,Confirmed
15629,American Dusky Flycatcher,Empidonax oberholseri,NA,NA,NA,NA,NA,NA,Confirmed
15630,American Grey Flycatcher,Empidonax wrightii,NA,NA,NA,NA,NA,NA,Confirmed
15637,Western Flycatcher,Empidonax difficilis,NA,NA,NA,NA,NA,NA,Confirmed
15971,Cassin's Kingbird,Tyrannus vociferans,NA,NA,NA,NA,NA,NA,Confirmed
15977,Western Kingbird,Tyrannus verticalis,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
15978,Scissor-tailed Flycatcher,Tyrannus forficatus,NA,Confirmed,Confirmed,NA,Confirmed,NA,NA
15984,Eastern Kingbird,Tyrannus tyrannus,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
16062,Great Crested Flycatcher,Myiarchus crinitus,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
18894,Loggerhead Shrike,Lanius ludovicianus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
18902,Northern Shrike,Lanius borealis,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
19094,Red-eyed Vireo,Vireo olivaceus,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
19119,Philadelphia Vireo,Vireo philadelphicus,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
19120,Warbling Vireo,Vireo gilvus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
19155,Yellow-throated Vireo,Vireo flavifrons,NA,NA,Confirmed,Confirmed,Confirmed,NA,NA
19158,Blue-headed Vireo,Vireo solitarius,NA,NA,Confirmed,NA,Confirmed,Confirmed,Confirmed
19161,Cassin's Vireo,Vireo cassinii,NA,NA,NA,NA,NA,NA,Confirmed
19164,Plumbeous Vireo,Vireo plumbeus,NA,NA,NA,NA,NA,NA,Confirmed
19203,Bell's Vireo,Vireo bellii,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
20004,Canada Jay,Perisoreus canadensis,NA,NA,Hypothetical,NA,Hypothetical,NA,NA
20094,Blue Jay,Cyanocitta cristata,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
20147,Pinyon Jay,Gymnorhinus cyanocephalus,Hypothetical,NA,Confirmed,NA,Confirmed,NA,Confirmed
20267,Black-billed Magpie,Pica hudsonia,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
20279,Clark's Nutcracker,Nucifraga columbiana,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
20346,American Crow,Corvus brachyrhynchos,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
20398,Northern Raven,Corvus corax,NA,NA,Hypothetical,NA,Hypothetical,NA,NA
20736,Bohemian Waxwing,Bombycilla garrulus,Confirmed,NA,Confirmed,NA,Confirmed,NA,NA
20740,Cedar Waxwing,Bombycilla cedrorum,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
20957,Black-capped Chickadee,Poecile atricapillus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
21553,Horned Lark,Eremophila alpestris,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
22171,Sand Martin,Riparia riparia,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
22193,Tree Swallow,Tachycineta bicolor,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
22195,Violet-green Swallow,Tachycineta thalassina,NA,NA,NA,NA,NA,NA,Confirmed
22231,Northern Rough-winged Swallow,Stelgidopteryx serripennis,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
22249,Purple Martin,Progne subis,NA,NA,NA,NA,NA,Confirmed,NA
22312,Barn Swallow,Hirundo rustica,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
22376,American Cliff Swallow,Petrochelidon pyrrhonota,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
25525,Ruby-crowned Kinglet,Corthylio calendula,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
25536,Golden-crowned Kinglet,Regulus satrapa,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
25638,Rock Wren,Salpinctes obsoletus,Confirmed,NA,Confirmed,NA,Confirmed,NA,Confirmed
25674,Sedge Wren,Cistothorus stellaris,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,NA
25697,Marsh Wren,Cistothorus palustris,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
25894,Winter Wren,Troglodytes hiemalis,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
25897,Pacific Wren,Troglodytes pacificus,NA,NA,NA,NA,NA,NA,Confirmed
25913,House Wren,Troglodytes aedon,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
26114,Blue-grey Gnatcatcher,Polioptila caerulea,NA,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed
26145,White-breasted Nuthatch,Sitta carolinensis,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
26175,Pygmy Nuthatch,Sitta pygmaea,NA,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed
26187,Red-breasted Nuthatch,Sitta canadensis,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
26263,Brown Creeper,Certhia americana,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
26308,Grey Catbird,Dumetella carolinensis,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
26312,Northern Mockingbird,Mimus polyglottos,Hypothetical,NA,Confirmed,NA,Confirmed,Confirmed,Confirmed
26355,Sage Thrasher,Oreoscoptes montanus,NA,NA,NA,NA,NA,NA,Confirmed
26357,Brown Thrasher,Toxostoma rufum,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
26371,Curve-billed Thrasher,Toxostoma curvirostre,NA,NA,NA,NA,NA,NA,Confirmed
26609,Common Starling,Sturnus vulgaris,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
26749,Mountain Bluebird,Sialia currucoides,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
26757,Eastern Bluebird,Sialia sialis,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
26765,Eastern x Mountain Bluebird,Sialia sialis x currucoides,NA,NA,NA,NA,NA,NA,Confirmed
26786,Townsend's Solitaire,Myadestes townsendi,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
26840,Wood Thrush,Hylocichla mustelina,Confirmed,NA,Extirpated,Confirmed,Confirmed,NA,NA
26874,Swainson's Thrush,Catharus ustulatus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
26885,Hermit Thrush,Catharus guttatus,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
26908,Grey-cheeked Thrush,Catharus minimus,NA,NA,Confirmed,NA,Confirmed,NA,NA
26912,Veery,Catharus fuscescens,Confirmed,NA,Confirmed,NA,Confirmed,NA,Confirmed
27175,American Robin,Turdus migratorius,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
29178,House Sparrow,Passer domesticus,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
30190,Buff-bellied Pipit,Anthus rubescens,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
30226,Sprague's Pipit,Anthus spragueii,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
30286,Evening Grosbeak,Hesperiphona vespertina,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
30311,Pine Grosbeak,Pinicola enucleator,NA,NA,Confirmed,NA,Confirmed,NA,NA
30384,Grey-crowned Rosy Finch,Leucosticte tephrocotis,NA,NA,NA,NA,NA,NA,Confirmed
30524,Purple Finch,Haemorhous purpureus,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
30527,Cassin's Finch,Haemorhous cassinii,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
30528,House Finch,Haemorhous mexicanus,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
30697,Common Redpoll,Acanthis flammea,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
30707,Red Crossbill,Loxia curvirostra,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
30728,Two-barred Crossbill,Loxia leucoptera,NA,NA,Confirmed,NA,Confirmed,NA,NA
30777,American Goldfinch,Spinus tristis,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
30782,Lesser Goldfinch,Spinus psaltria,NA,NA,NA,NA,NA,NA,Confirmed
30790,Pine Siskin,Spinus pinus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
30928,Thick-billed Longspur,Rhynchophanes mccownii,NA,NA,NA,NA,NA,NA,Confirmed
30930,Lapland Longspur,Calcarius lapponicus,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
30937,Chestnut-collared Longspur,Calcarius ornatus,NA,NA,NA,NA,NA,Confirmed,Confirmed
31176,Cassin's Sparrow,Peucaea cassinii,NA,NA,NA,NA,NA,Confirmed,Confirmed
31182,Grasshopper Sparrow,Ammodramus savannarum,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31242,Lark Sparrow,Chondestes grammacus,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31246,Lark Bunting,Calamospiza melanocorys,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31248,Chipping Sparrow,Spizella passerina,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31254,Clay-colored Sparrow,Spizella pallida,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31260,Field Sparrow,Spizella pusilla,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31261,Brewer's Sparrow,Spizella breweri,NA,NA,NA,NA,NA,NA,Confirmed
31340,Red Fox Sparrow,Passerella iliaca,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
31344,American Tree Sparrow,Spizelloides arborea,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31351,White-winged Junco,Junco aikeni,Confirmed,NA,Confirmed,NA,Confirmed,NA,Confirmed
31352,Slate-colored Junco,Junco hyemalis,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31354,Cassiar Junco,Junco cismontanus,NA,NA,NA,Confirmed,Confirmed,NA,Confirmed
31354.5,Slate-colored/Cassiar Junco,Junco hyemalis/cismontanus,NA,NA,NA,Confirmed,Confirmed,NA,Confirmed
31355,Oregon Junco,Junco oreganus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31363,Pink-sided Junco,Junco mearnsi,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31402,White-crowned Sparrow,Zonotrichia leucophrys,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31408,Golden-crowned Sparrow,Zonotrichia atricapilla,NA,NA,Confirmed,NA,Confirmed,NA,NA
